scalerank	featurecla	labelrank	sovereignt	sov_a3	adm0_dif	level	type	admin	adm0_a3	geou_dif	geounit	gu_a3	su_dif	subunit	su_a3	brk_diff	name	name_long	brk_a3	brk_name	brk_group	abbrev	postal	formal_en	formal_fr	note_adm0	note_brk	name_sort	name_alt	mapcolor7	mapcolor8	mapcolor9	mapcolor13	pop_est	gdp_md_est	pop_year	lastcensus	gdp_year	economy	income_grp	wikipedia	fips_10	iso_a2	iso_a3	iso_n3	un_a3	wb_a2	wb_a3	woe_id	adm0_a3_is	adm0_a3_us	adm0_a3_un	adm0_a3_wb	continent	region_un	subregion	region_wb	name_len	long_len	abbrev_len	tiny	homepart	day0	day1	day2	day3	day4	day5	day6	day7	day8	day9
5	Admin-0 country	5	Australia	AU1	1	2	Dependency	Indian Ocean Territories	IOA	0	Indian Ocean Territories	IOA	0	Indian Ocean Territories	IOA	0	Indian Ocean Ter.	Indian Ocean Territories	IOA	Indian Ocean Ter.		Ind. Oc. Ter.	IOT			Auz.		Indian Ocean Territories		1	2	2	7	2069	31.035	-99	-99	-99	2. Developed region: nonG7	2. High income: nonOECD	-99		-99	-99	-99	-99	-99	-99	-99	AUS	AUS	-99	-99	Asia	Seven seas (open ocean)	Seven seas (open ocean)	East Asia & Pacific	17	24	13	-99	-99	#cb9243	#f2c1c5	#99039f	#c3adef	#9ab488	#8475e7	#254254	#630d5e	#2e4fb4	#4acc3d
1	Admin-0 country	5	Kashmir	KAS	0	2	Indeterminate	Siachen Glacier	KAS	0	Siachen Glacier	KAS	0	Siachen Glacier	KAS	1	Siachen Glacier	Siachen Glacier	B45	Siachen Glacier	Jammu and Kashmir	Siachen	SG				Claimed by Pakistan and India	Kashmir		3	7	6	-99	6000	15.0	-99	-99	-99	6. Developing region	4. Lower middle income	-99		-99	-99	-99	-99	-99	-99	-99	-99	KAS	-99	-99	Asia	Asia	Southern Asia	South Asia	15	15	7	-99	1	#8dd3ef	#1f36e8	#28650f	#a36675	#37775a	#e0ba81	#2f45f6	#2274a9	#6572c	#86077c
1	Admin-0 country	6	Kosovo	KOS	0	2	Sovereign country	Kosovo	KOS	0	Kosovo	KOS	0	Kosovo	KOS	1	Kosovo	Kosovo	B57	Kosovo		Kos.	KO	Republic of Kosovo			Self admin.; Claimed by Serbia	Kosovo		2	2	3	11	1804838	5352.0	-99	1981	-99	6. Developing region	4. Lower middle income	-99		-99	-99	-99	-99	KV	KSV	-99	SRB	KOS	-99	-99	Europe	Europe	Southern Europe	Europe & Central Asia	6	6	4	-99	1	#417a42	#1f24e8	#bfabbf	#15ad5e	#7844a6	#cd873f	#cafa2f	#d07c4	#a161dd	#190de1
1	Admin-0 country	5	Somaliland	SOL	0	2	Indeterminate	Somaliland	SOL	0	Somaliland	SOL	0	Somaliland	SOL	1	Somaliland	Somaliland	B30	Somaliland		Solnd.	SL	Republic of Somaliland		Self admin.	Self admin.; Claimed by Somalia	Somaliland		3	6	5	2	3500000	12250.0	-99	-99	-99	6. Developing region	4. Lower middle income	-99		-99	-99	-99	-99	-99	-99	-99	SOM	SOM	-99	-99	Africa	Africa	Eastern Africa	Sub-Saharan Africa	10	10	6	-99	1	#148a48	#d41dcb	#ad16d4	#94e538	#9b4b14	#459cdc	#a6f41a	#87ca45	#442892	#b72514
1	Admin-0 country	6	Northern Cyprus	CYN	0	2	Sovereign country	Northern Cyprus	CYN	0	Northern Cyprus	CYN	0	Northern Cyprus	CYN	1	N. Cyprus	Northern Cyprus	B20	N. Cyprus		N. Cy.	CN	Turkish Republic of Northern Cyprus		Self admin.	Self admin.; Claimed by Cyprus	Cyprus, Northern		3	1	4	8	265100	3600.0	-99	-99	-99	6. Developing region	3. Upper middle income	-99		-99	-99	-99	-99	-99	-99	-99	CYP	CYP	-99	-99	Asia	Asia	Western Asia	Europe & Central Asia	9	15	6	-99	1	#a952a0	#396817	#e5340a	#4d4d0e	#7fd6c3	#ba4b9b	#93470e	#e4d119	#307539	#7d3eff
5	Admin-0 country	5	Australia	AU1	1	2	Dependency	Ashmore and Cartier Islands	ATC	0	Ashmore and Cartier Islands	ATC	0	Ashmore and Cartier Islands	ATC	0	Ashmore and Cartier Is.	Ashmore and Cartier Islands	ATC	Ashmore and Cartier Is.		A.C.Is.	AU	Territory of Ashmore and Cartier Islands		Auz.		Ashmore and Cartier Islands		1	2	2	7	-99	-99.0	-99	-99	-99	7. Least developed region	5. Low income	-99		-99	-99	36	-99	-99	-99	-99	AUS	ATC	-99	-99	Oceania	Oceania	Australia and New Zealand	East Asia & Pacific	23	27	7	-99	-99	#c28dcb	#1fc474	#68a15f	#5da542	#7570c0	#d17070	#8fd56b	#5ce96f	#c228ec	#cebf48
3	Admin-0 country	5	Netherlands	NL1	1	2	Country	Aruba	ABW	0	Aruba	ABW	0	Aruba	ABW	0	Aruba	Aruba	ABW	Aruba		Aruba	AW	Aruba		Neth.		Aruba		4	2	2	9	103065	2258.0	-99	2010	-99	6. Developing region	2. High income: nonOECD	-99		AW	ABW	533	533	AW	ABW	-99	ABW	ABW	-99	-99	North America	Americas	Caribbean	Latin America & Caribbean	5	5	5	4	-99	#3d8ea4	#b2cef7	#f099c9	#6c7460	#3a08de	#9307	#6b121e	#45450	#9f1370	#6e7b36
1	Admin-0 country	3	Afghanistan	AFG	0	2	Sovereign country	Afghanistan	AFG	0	Afghanistan	AFG	0	Afghanistan	AFG	0	Afghanistan	Afghanistan	AFG	Afghanistan		Afg.	AF	Islamic State of Afghanistan				Afghanistan		5	6	8	7	28400000	22270.0	-99	1979	-99	7. Least developed region	5. Low income	-99		AF	AFG	4	4	AF	AFG	-99	AFG	AFG	-99	-99	Asia	Asia	Southern Asia	South Asia	11	11	4	-99	1	#64d548	#d735a4	#88c9b8	#8985ae	#2202d1	#c428cc	#a58ae2	#3ce7a3	#5362ea	#8fda13
1	Admin-0 country	3	Angola	AGO	0	2	Sovereign country	Angola	AGO	0	Angola	AGO	0	Angola	AGO	0	Angola	Angola	AGO	Angola		Ang.	AO	People's Republic of Angola				Angola		3	2	6	1	12799293	110300.0	-99	1970	-99	7. Least developed region	3. Upper middle income	-99		AO	AGO	24	24	AO	AGO	-99	AGO	AGO	-99	-99	Africa	Africa	Middle Africa	Sub-Saharan Africa	6	6	4	-99	1	#2c0c1c	#52e3ed	#c62ad5	#39d9e0	#41d174	#50789d	#2ce965	#6ac79c	#ddf8f	#a1a7e7
1	Admin-0 country	6	United Kingdom	GB1	1	2	Dependency	Anguilla	AIA	0	Anguilla	AIA	0	Anguilla	AIA	0	Anguilla	Anguilla	AIA	Anguilla		Ang.	AI			U.K.		Anguilla		6	6	6	3	14436	108.9	-99	-99	-99	6. Developing region	3. Upper middle income	-99		AI	AIA	660	660	-99	-99	-99	AIA	AIA	-99	-99	North America	Americas	Caribbean	Latin America & Caribbean	8	8	4	-99	-99	#fcd0ab	#1c04e5	#25c24b	#c90371	#adffbb	#8b1345	#447d1c	#fa4b74	#592685	#26fc15
